,Rate,Comment
0,4,Value-for-money
1,5,Must buy!
2,5,Great product
3,4,Worth the money
4,5,Super!
5,5,Classy product
6,5,Simply awesome
7,4,Wonderful
8,5,Classy product
9,4,Love at First Home Touch
10,4,Worth the money
11,5,Mind-blowing purchase
12,3,Iphone SE Budgeted Phone of 2020?
13,4,Very Good
14,5,Brilliant
15,5,Just wow!
16,4,Wonderful
17,4,Value-for-money
18,5,Highly recommended
19,5,Super!
20,5,Best in the market!
21,4,Nice product
22,4,Value-for-money
23,5,Perfect product!
24,1,Unsatisfactory
25,5,Super!
26,5,Classy product
27,5,Best in the market!
28,5,Best in this budget
29,5,Terrific
30,5,Perfect product!
31,5,Just wow!
32,5,Awesome
33,3,Does the job
34,4,Go for it without any hesitation.
35,4,Pretty good
36,4,Very Good
37,5,Awesome
38,5,Good phone for the price
39,5,Highly recommended
40,5,Excellent
41,4,Worth the money
42,5,Terrific purchase
43,5,Terrific
44,4,Value-for-money
45,5,Classy product
46,5,Must buy!
47,5,Simply awesome
48,5,Mind-blowing purchase
49,3,Good
50,4,Wonderful
51,5,Highly recommended
52,5,Terrific
53,5,Best in the market!
54,4,Value-for-money
55,5,Highly recommended
56,5,Brilliant
57,5,Highly recommended
58,3,Fair
59,5,Must buy!
60,4,Nice product
61,5,Perfect product!
62,5,Perfect product!
63,5,Worth every penny
64,5,Best in the market!
65,1,Terrible product
66,5,Terrific purchase
67,5,Simply awesome
68,4,Pretty good
69,4,Wonderful
70,4,Very Good
71,5,Worth every penny
72,5,Super!
73,5,Brilliant
74,5,Great product
75,4,Wonderful
76,5,Wonderful
77,5,Brilliant
78,5,Just wow!
79,4,Good choice
80,5,Great product
81,4,Good choice
82,5,Great product
83,5,Super!Little Champ is here!
84,5,Excellent
85,4,Good quality product
86,5,Must buy!
87,4,Very Good
88,5,Fabulous!
89,5,Perfecto !
90,5,Great product
91,4,Really Nice
92,5,Great product
93,4,Good quality product
94,5,Simply awesome
95,4,Really Nice
96,5,Classy product
97,5,Great product
98,5,Super!
99,5,Terrific
100,1,Terrible product
101,5,Just wow!
102,4,Wonderful
103,5,Just wow!
104,5,Just wow!
105,4,Worth the money
106,5,Best in the market!
107,5,Classy product
108,5,Best in the market!
109,5,Must buy!
110,5,Awesome
111,5,Worth every penny
112,3,DISAPPOINTED FROM APPLE
